device,trust
c8bcc8134163,0.9817375207437139
147dc5026692,0.9821156163093334
148fc6028175,0.9811823389888688
b8c75d127016,0.9823006734054054
6c3e6d084974,0.9820616915461775
e0cb1d148049,0.9817869536031683
2002af036963,0.98197827078765
7073cb088646,0.9817790086783856
a00bba118221,0.981898165389468
d83062140066,0.9817810839028659
145a05026408,0.981877155154821
ac3c0b122441,0.9816857802667326
4860bc061174,0.9820058642006363
5c5948074078,0.9817201392198261
4860bc060294,0.9817763659458898
4860bc060561,0.9816675027343967
40d32d058016,0.9821457850297214
88c663105256,0.9817224032620137
f81edf161174,0.9816832863688365
0026bb009423,0.9819488041605587
002436006914,0.9819250875636627
705681087979,0.9817753298815283
980c82112376,0.9822012027500387
b8c75d126951,0.9823152773505158
f81edf161120,0.9821293221072134
5855ca070166,0.9820833485572537
20c9d0039859,0.981914578209574
206432038574,0.9820846353717082
88c663104694,0.9818446418871482
58b035070589,0.9819071881288834
a0f450118979,0.9814936266656817
044665015679,0.9822010758904722
78e400096203,0.9668480983760701
40a6d9055768,0.9822136509810765
189efc033148,0.9821476174675151
d89e3f142933,0.9820991799657229
7c11be096541,0.9821067635425756
24ab81040524,0.9818049622313615
4860bc060285,0.9820329370631421
8cfaba107299,0.9820676518858882
18e7f4034630,0.9821366256843125
0c74c2021555,0.9820054236525526
c09f42131267,0.9820773096405059
0c74c2021129,0.9817965865606608
d8b12a143417,0.9819026045192072
0c771a022437,0.9819845114066458
044665015689,0.9817555492968347
705681088265,0.9817474892223753
002500007232,0.9824048962723295
8c7b9d106449,0.9824553657745551
18e7f4034552,0.9820950301220159
041e64015206,0.9822487066821972
f0b479155380,0.982285126715246
c8bcc8134135,0.9820321834891985
4860bc060546,0.9820875793532077
d05162137790,0.981482298031103
78ca39095287,0.9817972395250193
d89e3f141808,0.9816558196598265
182032030284,0.9820875060630795
00c610013213,0.981982598254729
28cfda042252,0.9818293321203955
7c11be096586,0.9821191629439348
d05162137940,0.98191078865416
00254b007373,0.9818199986723317
78ca39095219,0.982238846413979
64b9e8080502,0.9817996734104297
3085a9045488,0.9817595552424768
980c82113377,0.9820819851226208
50465d063922,0.9821734167096988
18e7f4034501,0.9816767815742566
28e02c043107,0.982137395403511
e80688151209,0.9819687257703096
9027e4108753,0.9821723069873657
74e2f5091043,0.982212579330147
7073cb088655,0.9817813272342962
182032030188,0.982262652230153
74e2f5091079,0.9819043344660094
68a86d083595,0.9817728851010256
88c663104807,0.981954249885126
40a6d9055545,0.9821599178036635
cc08e0135993,0.9824425442027133
14109f024710,0.9819503431206194
00c610013244,0.9818438309819996
109add024242,0.9820814690550174
64b9e8081364,0.9818408953374785
d89e3f141843,0.9818094005404172
b8c68e126417,0.9821369281190999
38e7d8051604,0.9817625896190738
40a6d9055840,0.982331125306563
40a6d9055716,0.9819564634334788
